RecordId,Group,File,Format,Bytes,Sha256
D0120,04_production_300k,data/04_production_300k/D0120.csv,CSV,1735,dfef397ebdb74284a4dbf80891cdc10fa0882bbdeaaad832c04b859a12b1c154
D0121,04_production_300k,data/04_production_300k/D0121.csv,CSV,24185,cd17329224ab66f5dc186569e314c939c3a64e6ae17cb42a919aeb4cf1905dc1
D0122,04_production_300k,data/04_production_300k/D0122.csv,CSV,1743,9a970d1a674639f193af4f8cbd491236fecb40594b418f270fba2512afd6831e
D0123,04_production_300k,data/04_production_300k/D0123.h5,H5,10155575,8b0b668bc0c0564bf9e94b11530d300b149860f4c6a34feff116c69c3e277e53
D0124,04_production_300k,data/04_production_300k/D0124.csv,CSV,422,cab7bd8b4986561b161c721b5cd1ff09e1a5f21546349185529fffe81a5fcb0a
D0125,04_production_300k,data/04_production_300k/D0125.csv,CSV,2594,6c0c0d6ada73207156d0af1b0d031b3124285030e424b91e7c9f075235b6a59c
D0126,04_production_300k,data/04_production_300k/D0126.csv,CSV,505,2542959bf35a7574dfa473f8f8d6f553e6852383587b4ddfbe3128e829ea1b0f
D0127,04_production_300k,data/04_production_300k/D0127.csv,CSV,410,0975e371aae48635991ce6fab4c31df1ad6bd1868a2657d24c05bb1353cc9168
D0128,04_production_300k,data/04_production_300k/D0128.csv,CSV,297,4ac03f8a6690bfe67d17393eb6775f86dcc2ca41b628ec7144dd55246edd1bac
D0129,04_production_300k,data/04_production_300k/D0129.csv,CSV,960,c98d924136aa13e77ffeb437580e370538ec716e0c89e96840234496b507e559
D0130,04_production_300k,data/04_production_300k/D0130.csv,CSV,1776,4719d85108ed6c1f227874026b0f6ac4aab43131ba7386943704abc0a80831ab
D0131,04_production_300k,data/04_production_300k/D0131.csv,CSV,2942,551300de8e8b60812f29bb9bebc9dcd23b61ffa270a4ffadbc052d61342558d1
D0132,04_production_300k,data/04_production_300k/D0132.csv,CSV,1232,bfb1ed95b9444d457328417e812a9e2f773ce19cecc5e5f42e850bbf6ab4ab9d
D0133,04_production_300k,data/04_production_300k/D0133.csv,CSV,2630,f71deb6619ee9df52148c393c4824b009a67143791e8b183b095351ab8fd7acd
D0134,04_production_300k,data/04_production_300k/D0134.csv,CSV,814,e88dbe3f04f52971613e023536703545bf86f32deff28c062f724a3cadbd1e6b
D0135,04_production_300k,data/04_production_300k/D0135.csv,CSV,235,237b140c7a01517542bf7f0d67f7e8bd3f88cd7848ae4eca73d707808bfab590
D0136,04_production_300k,data/04_production_300k/D0136.csv,CSV,1239,682effb064e4b01a0f8cd7074356960613cd4d328fa9343e1051c31f675f3b11
D0137,04_production_300k,data/04_production_300k/D0137.csv,CSV,735,095bb582633b202ca43997f220d3e42fe19199ae70af16e64fac544c1340cba5
D0138,04_production_300k,data/04_production_300k/D0138.csv,CSV,1627,ae7c65fac4f815f5b3e13d6ac513caa3e9d18674d48fe44704da404e5eb42c7b
D0139,04_production_300k,data/04_production_300k/D0139.csv,CSV,622,eb71bcb2f5e1d01c31fa1517f2003f4b26556d4f30f8b136fc97a29d51d539e9
D0140,04_production_300k,data/04_production_300k/D0140.csv,CSV,1743,d87c9cbf9b14ba70504b8fc27ae570f7a001e0a23804aab70645a612f0269a91
D0141,04_production_300k,data/04_production_300k/D0141.csv,CSV,957,0e3c80dbb26475252d0503c668a33aa473fed3f4b4879f28d31f2165a3d7443c
D0142,05_kkt_scaling,data/05_kkt_scaling/D0142.json,JSON,186068,df93cac237b81a4db9b40e2369660df362de13fff640836eb1db5ecc93e79f8a
D0143,05_kkt_scaling,data/05_kkt_scaling/D0143.json,JSON,36199,3b9661ceb42b8d93b17d266f9dc544802fa66f8f19eab6e9aaa5def30d7218ef
D0144,05_kkt_scaling,data/05_kkt_scaling/D0144.json,JSON,31197,b6e2b69d3ae10c20272445f8bee6f029e9ee44583eaced2883713995c19cab32
D0145,05_kkt_scaling,data/05_kkt_scaling/D0145.json,JSON,36241,1fa31bb9564ec33980121fccc383e5ac74435b511491ffff82530b60776fe09f
D0146,05_kkt_scaling,data/05_kkt_scaling/D0146.json,JSON,30762,e79cd52804e89dc61119b26ec81aecfe1baa0e0fbd2bc2673cf624e0725d093a
D0147,05_kkt_scaling,data/05_kkt_scaling/D0147.csv,CSV,1229,9b45435f9d652e64c153ee7b38f58451bc6b792d2d575b4d1ce302e5bde49796
D0148,05_kkt_scaling,data/05_kkt_scaling/D0148.csv,CSV,2634,6cf019bb7ecbdbe7821e2dfe13541a326ebbbff0cfcb98efd212fe7fabf3dae9
D0149,05_kkt_scaling,data/05_kkt_scaling/D0149.json,JSON,48423,72c4305e8340aa1b04c688ff8cf42fc71eddcc6a58013c223e2a0d4a63c22fed
D0150,05_kkt_scaling,data/05_kkt_scaling/D0150.csv,CSV,1223,3ac9bdc0895a3939056c26c0f76ec98a9ab39fac028cc0e0ce895fefad9c63f7
D0151,05_kkt_scaling,data/05_kkt_scaling/D0151.csv,CSV,1733,30a5b0065435b34fe443e41a8a6c8fd91557a4df54174816aaef488855ff4f42
D0152,06_reduction,data/06_reduction/D0152.json,JSON,334693,b4dfff3c4eadd9f385a99a6e44e166908f258fd9a7c0e92ac53dfd3a52fbc354
D0153,06_reduction,data/06_reduction/D0153.csv,CSV,1210,850961a8847539068ac1da4b4ce0239ed27247ee770379dd84fee6b692e5c387
D0154,06_reduction,data/06_reduction/D0154.csv,CSV,19777,997e571c3bd311ab73ad514f4279e98621288c0c55cea00815a168bf707ae7c7
D0155,06_reduction,data/06_reduction/D0155.csv,CSV,3010,6bcaaa1d964c993a0cdc04e39bcf9499ee0ebd957441f65e51818c66cfac979c
D0156,06_reduction,data/06_reduction/D0156.csv,CSV,1040,9d8db9c1e131800b41e31e80dffd69742b04a8fb2d0c4ee85569a9fb27124bee
D0157,07_discrete_dynamics,data/07_discrete_dynamics/D0157.csv,CSV,5560,0de0c1781faa4a7c04e12c8f8c991f2405ea2e4b413001cbee42a5459792fe79
D0158,07_discrete_dynamics,data/07_discrete_dynamics/D0158.json,JSON,107281,071337a778797e32407fee5664fcad7d51a3a6f8f7ba2c0eed0c4164b3b85c5f
D0159,07_discrete_dynamics,data/07_discrete_dynamics/D0159.json,JSON,73189,439f397b7236b06fe678facd727e1b39a010f3966d243a291f19c9df2fd8247a
D0160,07_discrete_dynamics,data/07_discrete_dynamics/D0160.json,JSON,440366,32b7efa3bb5bc44c5696e15691d154b10b206c4beb428e9d67ae88d7604bbdf0
D0161,07_discrete_dynamics,data/07_discrete_dynamics/D0161.json,JSON,561262,9dc1420d4e29530e93a6ae726b91c553286cb48090dea33137380f680b18b8e1
D0162,07_discrete_dynamics,data/07_discrete_dynamics/D0162.json,JSON,82192,aefc1e84d86ac564cfd4515c4e69984410761653fb8b69d6c3eabe0e3c2bb158
D0163,07_discrete_dynamics,data/07_discrete_dynamics/D0163.json,JSON,137026,f451192309389bd52e4f0cd74ba70d675e5b09f6e9b3d9569635ab40569f082a
D0164,07_discrete_dynamics,data/07_discrete_dynamics/D0164.json,JSON,174925,466c3f6432d8215fc793d5b2b27d80b45f98e95af175ecbfb8a54049c3092937
D0165,07_discrete_dynamics,data/07_discrete_dynamics/D0165.json,JSON,526978,ae6f37b0785262fbbc7b0eb7a56ca0a31ae078f660aa84ae579ef11d63460623
D0166,07_discrete_dynamics,data/07_discrete_dynamics/D0166.json,JSON,72948,e996f4350d7409c771bf997836fb1d121b82ec71c45093ed0164d2b58164c4b3
D0167,07_discrete_dynamics,data/07_discrete_dynamics/D0167.json,JSON,130831,5558f43c551613191f7869ea48280df89213e6d100b0c0fe600c1105f1c79e4a
D0168,07_discrete_dynamics,data/07_discrete_dynamics/D0168.json,JSON,71583,862e00ba0315db25bdcbe7edfff3c6b5d0be480d4030e4c505078bfa6622f88d
D0169,07_discrete_dynamics,data/07_discrete_dynamics/D0169.json,JSON,577307,c146f0d9d0f6f32c3f586b5d3fb6d298591a4d69a5fc5efbef943764bdc4ff6d
D0170,07_discrete_dynamics,data/07_discrete_dynamics/D0170.json,JSON,62222,7364df50b253173ecb0ccc7f9197c1f37fa966b31849fbdc80f23f03edb651b3
D0171,07_discrete_dynamics,data/07_discrete_dynamics/D0171.json,JSON,115141,b3d4d02142ef12d07d607de9a410f5fe21929ffb3d6fc3f0844e5a6b9f02717c
