EnergyError,RelativeEnergyErrorToReducedState,GoalCorrection,OmittedSchurMinimumEigenvalue,ScaledKernelCoercivity,RetainedKernelCoercivity,ReferenceResidualInfinityNorm,ErrorEnergyIdentityDefect,KktUnknowns,CertificateClass,IndependentPhysicalAccuracyCertified,OnlineSpeedupDemonstrated,Stage,RestrictionLiftPowerDefect,SharedAssemblySeconds,CertificateSeconds,RetainedConstraintCount,PhysicalEquilibriumResidual,RelativeEnergyBudgetMet,JacobianNnz,Geometry,WidthRatio
9.305878034860189e-05,0.05458826600803606,8.753902715441901e-06,0.2939273256875238,1.2292901379551725e-06,1.2259482709727809e-06,3.350286356933879e-16,1.1538585397583578e-12,168,exact-shared-linear-tangent-omitted-constraint-correction,False,False,selective-affine,3.469446951953614e-18,2.6244174000003113,0.005600899999990361,24,1.1578050148819284e-13,False,4762,single-curvature,0.01
9.095070367844646e-05,0.05335522956454285,8.360696216844661e-06,0.678908252636069,1.2292901379551725e-06,1.2261246090841707e-06,4.319935793632712e-16,3.919893672252382e-14,171,exact-shared-linear-tangent-omitted-constraint-correction,False,False,translations-affine,1.734723475976807e-18,2.6244174000003113,0.005323299999872688,27,1.590015007640782e-13,False,4896,single-curvature,0.01
1.3047569851393414e-05,0.0076649063685222864,1.702383445395981e-07,0.45873470588536364,1.2292901379551725e-06,1.229220946241768e-06,4.846375240680732e-16,1.2602862551137626e-14,177,exact-shared-linear-tangent-omitted-constraint-correction,False,False,without-width-stretch,1.734723475976807e-18,2.6244174000003113,0.004705899999862595,33,1.233043393047895e-13,True,4972,single-curvature,0.01
0.0,0.0,0.0,,1.2292901379551725e-06,1.2292901379551725e-06,3.6620093046000387e-16,0.0,180,exact-shared-linear-tangent-omitted-constraint-correction,False,False,full-affine,0.0,2.6244174000003113,0.004218199999741046,36,1.7430176441474554e-13,True,5106,single-curvature,0.01
0.00012789414428226819,0.07968393660484764,1.653719189489184e-05,0.003796181024112378,1.4020061286400245e-06,1.3932263325062511e-06,4.1068561854214203e-16,1.8003171718350204e-14,162,exact-shared-linear-tangent-omitted-constraint-correction,False,False,constant,0.0,1.653570700000273,0.005530399999770452,18,1.3369241449237443e-13,False,4542,single-curvature,0.02
0.00010012026566898976,0.062456348486665786,1.020305085326464e-05,0.29375308188939775,1.4020061286400245e-06,1.3963695880568843e-06,2.8951416730562535e-16,7.306272700392362e-13,165,exact-shared-linear-tangent-omitted-constraint-correction,False,False,normal-affine,0.0,1.653570700000273,0.005365900000469992,21,1.2862930269435728e-13,False,4650,single-curvature,0.02
9.404824297121465e-05,0.05868200339789047,8.999002238121563e-06,0.29382846617207026,1.4020061286400245e-06,1.3971742823776903e-06,4.81689002378681e-16,1.541189996607031e-13,168,exact-shared-linear-tangent-omitted-constraint-correction,False,False,selective-affine,0.0,1.653570700000273,0.005832400000144844,24,2.108584629305712e-13,False,4762,single-curvature,0.02
9.206072721634516e-05,0.0574460167073557,8.621084094995025e-06,0.6781064170695483,1.4020061286400245e-06,1.3973875144714458e-06,3.4325417264417443e-16,7.515229881572715e-14,171,exact-shared-linear-tangent-omitted-constraint-correction,False,False,translations-affine,3.469446951953614e-18,1.653570700000273,0.005245099999228842,27,9.941614018277483e-14,False,4898,single-curvature,0.02
3.230099107508399e-05,0.020185088383971796,1.0433523186235652e-06,0.458540506127869,1.4020061286400245e-06,1.4014768281914911e-06,3.194415353980143e-16,2.0414835496343344e-14,177,exact-shared-linear-tangent-omitted-constraint-correction,False,False,without-width-stretch,1.734723475976807e-18,1.653570700000273,0.0047130000002653105,33,1.231457337880201e-13,True,4952,single-curvature,0.02
0.0,0.0,0.0,,1.4020061286400245e-06,1.4020061286400245e-06,3.108373747198051e-16,0.0,180,exact-shared-linear-tangent-omitted-constraint-correction,False,False,full-affine,0.0,1.653570700000273,0.005121899999721791,36,1.0563092782299221e-13,True,5088,single-curvature,0.02
0.00012515992274576918,0.11348861923599372,1.579943154204526e-05,0.005119622039633426,2.8595324740507133e-06,2.82019741687858e-06,2.1434676950038423e-16,1.4700733513104643e-13,162,exact-shared-linear-tangent-omitted-constraint-correction,False,False,constant,0.0,1.6121852000005674,0.006379899999956251,18,5.746683034938341e-14,False,4542,single-curvature,0.04
0.00010717544569965633,0.09734857822146742,1.1624851401633095e-05,0.31065730198176233,2.8595324740507133e-06,2.8334073873568288e-06,1.4320193116165378e-16,6.53876303674805e-13,165,exact-shared-linear-tangent-omitted-constraint-correction,False,False,normal-affine,0.0,1.6121852000005674,0.0057084000000031665,21,4.811497933830514e-14,False,4652,single-curvature,0.04
0.00010463788754273716,0.09506476785689572,1.1049841596753086e-05,0.3107176896584193,2.8595324740507133e-06,2.836247077185775e-06,2.312992869067318e-16,8.024698367777058e-13,168,exact-shared-linear-tangent-omitted-constraint-correction,False,False,selective-affine,0.0,1.6121852000005674,0.005916600000091421,24,4.238122700213465e-14,False,4762,single-curvature,0.04
0.00010356161063698613,0.09409565957271267,1.0821040032162359e-05,0.7150264320032613,2.8595324740507133e-06,2.836664888328791e-06,1.8718242288193881e-16,6.055960662798495e-13,171,exact-shared-linear-tangent-omitted-constraint-correction,False,False,translations-affine,0.0,1.6121852000005674,0.0053195999998933985,27,7.439088221718982e-14,False,4898,single-curvature,0.04
8.954796289029376e-05,0.08145395379289642,8.018683966689572e-06,0.48790343917534595,2.8595324740507133e-06,2.842850074533425e-06,1.890306487728477e-16,3.173037880044486e-13,177,exact-shared-linear-tangent-omitted-constraint-correction,False,False,without-width-stretch,0.0,1.6121852000005674,0.004579200000080164,33,5.903741472336322e-14,False,4952,single-curvature,0.04
0.0,0.0,0.0,,2.8595324740507133e-06,2.8595324740507133e-06,1.4715249282764784e-16,0.0,180,exact-shared-linear-tangent-omitted-constraint-correction,False,False,full-affine,0.0,1.6121852000005674,0.00460430000021006,36,6.816739737611122e-14,True,5088,single-curvature,0.04
