Case,Method,TimeStepS,FoldedAngleRad,ReleaseTimeS,CablePretensionN,TrajectoryRelativeError,EventTimeS,EventTimeRelativeError,EventCount,ReferenceEventCount,MissedEventCount,SimultaneousEventCount,GrazingEventCount,NormalImpulse,ImpulseRelativeError,PostimpactNormalVelocity,PostimpactVelocityRelativeError,MaximumConstraintDrift,MaximumRelativeEnergyBalanceError,MaximumImpactMomentumDefect,MaximumImpactRestitutionDefect,RelativeGlobalMomentumBalanceError,PeakInterfaceMomentNm,RuntimeSeconds,AllStepsConverged
repeated-impact,step-end-velocity-projection,0.003125,0.76,0.02,19.70998632374672,0.5275459293697984,0.2949999999999995,0.007962297220905946,1,2,1,0,0,0.06991442980289357,0.3273498798911416,-4.440892098500626e-16,1.0000000000000002,0.009030849952641883,0.9257791597422884,1.3877902638426093e-17,4.440892098500626e-16,0.0008162104734654606,0.0024805913743510288,0.7026793000040925,True
repeated-impact,step-end-velocity-projection,0.0015625,0.76,0.02,19.70998632374672,0.5258455333654765,0.29343749999999996,0.0026235138669832786,1,2,1,0,0,0.0701270946164845,0.32530382140495845,0.0,1.0,0.0029832736609339875,0.9258269635673337,1.3877985121299597e-17,0.0,0.00013951214395327256,0.002327418449786741,1.4020439000014449,True
repeated-impact,event-localized-impulse-newmark,0.0125,0.76,0.02,19.70998632374672,0.0016460698436701374,0.29282945022020623,0.0005459163996424172,2,2,0,0,0,0.10393769480432272,1.0397123027107713e-05,1.8724988605011341,1.0397123026982394e-05,0.0,7.948595688515883e-05,2.7755889063612375e-17,1.1102230246251565e-16,4.696077077869136e-05,0.003612044682525571,0.513056099996902,True
repeated-impact,event-localized-impulse-newmark,0.00625,0.76,0.02,19.70998632374672,0.0006006141877352261,0.2927097529553248,0.00013693222987651917,2,2,0,0,0,0.10393762291612757,1.1088762839320457e-05,1.8724975653929086,1.1088762839145347e-05,0.0,5.1519285115734366e-05,1.3878226749434728e-17,2.220446049250313e-16,2.375648591634162e-05,0.00399953482963204,0.6641996000034851,True
repeated-impact,event-localized-impulse-newmark,0.003125,0.76,0.02,19.70998632374672,0.00028170545695601517,0.29267977316246235,3.449663366008598e-05,2,2,0,0,0,0.10393840991191818,3.5170381671990557e-06,1.8725117435861414,3.5170381671310386e-06,1.9721522630525295e-31,9.414198331596948e-06,2.7755884905137746e-17,2.220446049250313e-16,7.1484816815525376e-06,0.00354892075647086,0.840336399996886,True
repeated-impact,event-localized-impulse-newmark,0.0015625,0.76,0.02,19.70998632374672,7.142987591486903e-05,0.292672203883917,8.633761148681459e-06,2,2,0,0,0,0.10393869016771712,8.206835326609509e-07,1.8725167925596171,8.206835324466001e-07,0.0,3.2192617935685023e-06,1.3877995777556732e-17,2.220446049250313e-16,4.4448212519187964e-06,0.0038819887052433093,1.4743596000043908,True
grazing-contact,average-acceleration-newmark,0.0125,0.3,0.02,4.929736667830245,0.0007303764879898613,0.48250000000000026,0.002563222582967327,1,1,0,0,0,0.0003807982027244406,nan,0.0010072668815326313,nan,2.263271140201797e-05,0.00030045747676641423,1.084445164018239e-19,0.0,3.091516566303215e-05,0.00042381669575613417,0.08440949999931036,True
grazing-contact,average-acceleration-newmark,0.00625,0.3,0.02,4.929736667830245,0.00018335956709105095,0.4824999999999993,0.0025632225829653665,1,1,0,0,0,0.0003543790885591836,nan,0.0009373844646837527,nan,2.643278372546342e-05,0.0003511852946478075,3.2354099319445577e-21,4.336808689942018e-19,1.8042024068310944e-05,0.00042381669575613417,0.1544720999954734,True
grazing-contact,average-acceleration-newmark,0.003125,0.3,0.02,4.929736667830245,4.605343485624388e-05,0.4824999999999988,0.0025632225829643283,1,1,0,0,0,0.0003480820202578461,nan,0.0009207277990133135,nan,2.7398311386169434e-05,0.00036408686336178404,1.0846957115114865e-19,2.3852447794681098e-18,9.34929816586962e-06,0.00042381669575613417,0.34317239999654703,True
grazing-contact,average-acceleration-newmark,0.0015625,0.3,0.02,4.929736667830245,1.1471762928370885e-05,0.48250000000000265,0.0025632225829722867,1,1,0,0,0,0.0003464321517119373,nan,0.0009163636556605154,nan,2.7682245539374383e-05,0.0003679226671510099,1.0853872396923176e-19,4.336808689942018e-19,4.722913265840745e-06,0.00042381669575613417,0.682381800004805,True
